experiment_name,architecture,n_parameters,dropout,learning_rate,batch_size,epochs_trained,train_time_s,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc
A-Small-DNN,32-16-8,1665,0.5,0.001,32,25,8.67,0.7985803016858918,0.702247191011236,0.4180602006688963,0.5241090146750524,0.8431728951577723
B-Baseline-DNN,64-32-16,4609,0.5,0.001,32,38,12.81,0.8127772848269743,0.6864406779661016,0.5418060200668896,0.6056074766355138,0.8446835668007691
C-Wider-DNN,128-64-32,14337,0.5,0.001,32,36,14.3,0.8163265306122449,0.6916666666666667,0.5551839464882943,0.6159554730983303,0.8441382708868531
D-Deeper-DNN,128-64-32-16,14849,0.5,0.001,32,33,12.54,0.808340727595386,0.6640316205533597,0.5618729096989966,0.6086956521739131,0.8439726624981823
E-Lower-Dropout,64-32-16,4609,0.2,0.001,32,14,5.8,0.808340727595386,0.6653386454183267,0.5585284280936454,0.6072727272727272,0.847006123471152
F-LR-3e-4,64-32-16,4609,0.5,0.0003,32,56,19.24,0.8154392191659272,0.6857142857142857,0.5618729096989966,0.6176470588235294,0.8482219313977348
F-LR-1e-4,64-32-16,4609,0.5,0.0001,32,100,32.57,0.8127772848269743,0.6864406779661016,0.5418060200668896,0.6056074766355138,0.8430416202155331
G-Batch-64,64-32-16,4609,0.5,0.001,64,33,10.78,0.8101153504880213,0.6905829596412556,0.5150501672240803,0.5900383141762453,0.8431607774707963
H-L2-Regularized,64-32-16,4609,0.5,0.001,32,37,12.92,0.8145519077196096,0.6956521739130435,0.5351170568561873,0.604914933837429,0.8475312232401079
