threshold,accuracy,precision,recall,f1,roc_auc
0.2,0.6832298136645962,0.45,0.8729096989966555,0.5938566552901023,0.8440857609099576
0.21,0.6903283052351376,0.45614035087719296,0.8695652173913043,0.5983889528193325,0.8440857609099576
0.22,0.6947648624667259,0.4597495527728086,0.8595317725752508,0.5990675990675991,0.8440857609099576
0.23,0.7009760425909495,0.4653284671532847,0.8528428093645485,0.6021251475796932,0.8440857609099576
0.24,0.7151730257320319,0.4790874524714829,0.842809364548495,0.610909090909091,0.8440857609099576
0.25,0.7187222715173026,0.48249027237354086,0.8294314381270903,0.6100861008610087,0.8440857609099576
0.26,0.7249334516415262,0.48902195608782434,0.8193979933110368,0.6125,0.8440857609099576
0.27,0.7284826974267968,0.49284253578732107,0.8060200668896321,0.6116751269035533,0.8440857609099576
0.28,0.7346938775510204,0.5,0.7993311036789298,0.6151866151866151,0.8440857609099576
0.29,0.7409050576752441,0.5074626865671642,0.7959866220735786,0.6197916666666667,0.8440857609099576
0.3,0.74622892635315,0.514161220043573,0.7892976588628763,0.6226912928759895,0.8440857609099576
0.31,0.7524401064773736,0.5223214285714286,0.782608695652174,0.6265060240963854,0.8440857609099576
0.32,0.7568766637089619,0.528344671201814,0.7792642140468228,0.6297297297297298,0.8440857609099576
0.33,0.7604259094942325,0.5336426914153132,0.7692307692307693,0.6301369863013698,0.8440857609099576
0.34,0.7613132209405501,0.5357142857142857,0.7525083612040134,0.6258692628650905,0.8440857609099576
0.35,0.7622005323868678,0.5375302663438256,0.7424749163879598,0.6235955056179776,0.8440857609099576
0.36,0.7622005323868678,0.5382716049382716,0.7290969899665551,0.6193181818181819,0.8440857609099576
0.37,0.7701863354037267,0.5515463917525774,0.7157190635451505,0.6229985443959244,0.8440857609099576
0.38,0.7772848269742679,0.5631578947368421,0.7157190635451505,0.6303387334315169,0.8440857609099576
0.39,0.7808340727595386,0.5702702702702702,0.705685618729097,0.6307922272047832,0.8440857609099576
0.4,0.7852706299911268,0.5798319327731093,0.6923076923076923,0.6310975609756099,0.8440857609099576
0.41,0.7923691215616682,0.5942028985507246,0.68561872909699,0.6366459627329193,0.8440857609099576
0.42,0.7950310559006211,0.6,0.6822742474916388,0.6384976525821596,0.8440857609099576
0.43,0.7968056787932565,0.6067073170731707,0.6655518394648829,0.6347687400318979,0.8440857609099576
