Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,0.8055358410220014,0.6572327044025157,0.5588235294117647,0.6040462427745664,0.8420083184789068
Decision Tree,0.794180269694819,0.6296296296296297,0.5454545454545454,0.5845272206303725,0.8283577462605594
Random Forest,0.7892122072391767,0.6305084745762712,0.49732620320855614,0.5560538116591929,0.8225800201503525
F-LR-3e-4,0.8026969481902059,0.6528662420382165,0.5481283422459893,0.5959302325581395,0.8409387997623291
