Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8055358410220014,0.6582278481012658,0.5561497326203209,0.6028985507246376,0.8420134852359917
Decision Tree,0.794180269694819,0.6296296296296297,0.5454545454545454,0.5845272206303724,0.8283577462605594
Random Forest,0.7892122072391767,0.6305084745762712,0.49732620320855614,0.5560538116591929,0.8225800201503525
XGBoost,0.8019872249822569,0.6567656765676567,0.5320855614973262,0.587887740029542,0.8444922369474799
